index,name,type,pokemon_species,pokemon_abilities,pokemon_weight,pokemon_height,pokemon_male,pokemon_female,pokemon_egg,kanto_number,joto_number,joto_h_number,hoenn_number,hoenn_oa_number,sinnoh_number,sinnoh_p_number,unova_number,unova_bw2_number,kalos_ce_number,kalos_co_number,kalos_m_number,alola_sm_number,alola_u_number,galar_number,galar_ia_number,galar_ct_number,paldea_number
387,Turtwig,"Grass,Normal",Tiny Leaf Pokémon,Overgrow,10.2 kg,0.4 m,87.5,12.5,"Monster,Grass",N/A,,,,,1,,N/A,,,,,,,,,,N/A
388,Grotle,"Grass,Normal",Grove Pokémon,Overgrow,97.0 kg,1.1 m,87.5,12.5,"Monster,Grass",N/A,,,,,2,,N/A,,,,,,,,,,N/A
389,Torterra,"Grass,Ground",Continent Pokémon,Overgrow,310.0 kg,2.2 m,87.5,12.5,"Monster,Grass",N/A,,,,,3,,N/A,,,,,,,,,,N/A
390,Chimchar,"Fire,Normal",Chimp Pokémon,Blaze,6.2 kg,0.5 m,87.5,12.5,"Field,Human-Like",N/A,,,,,4,,N/A,,,,,,,,,,N/A
391,Monferno,"Fire,Fighting",Playful Pokémon,Blaze,22.0 kg,0.9 m,87.5,12.5,"Field,Human-Like",N/A,,,,,5,,N/A,,,,,,,,,,N/A
392,Infernape,"Fire,Fighting",Flame Pokémon,Blaze,55.0 kg,1.2 m,87.5,12.5,"Field,Human-Like",N/A,,,,,6,,N/A,,,,,,,,,,N/A
393,Piplup,"Water,Normal",Penguin Pokémon,Torrent,5.2 kg,0.4 m,87.5,12.5,"Field,Water 1",N/A,,,,,7,,N/A,,,,,,,,,,N/A
394,Prinplup,"Water,Steel",Penguin Pokémon,Torrent,23.0 kg,0.8 m,87.5,12.5,"Field,Water 1",N/A,,,,,8,,N/A,,,,,,,,,,N/A
395,Empoleon,"Water,Steel",Emperor Pokémon,Torrent,84.5 kg,1.7 m,87.5,12.5,"Field,Water 1",N/A,,,,,9,,N/A,,,,,,,,,,N/A
396,Starly,"Normal,Flying",Starling Pokémon,Keen Eye,2.0 kg,0.3 m,50,50,Flying,N/A,,,,,10,,N/A,,,99,,,,,,,N/A
397,Staravia,"Normal,Flying",Starling Pokémon,Intimidate,15.5 kg,0.6 m,50,50,Flying,N/A,,,,,11,,N/A,,,100,,,,,,,N/A
398,Staraptor,"Normal,Flying",Predator Pokémon,Intimidate,24.9 kg,1.2 m,50,50,Flying,N/A,,,,,12,,N/A,,,101,,,,,,,N/A
399,Bidoof,"Normal,Normal",Plump Mouse Pokémon,"Simple,Unaware",20.0 kg,0.5 m,50,50,"Water 1,Field",N/A,,,,,13,,N/A,,38,,,,,,,,N/A
400,Bibarel,"Normal,Water",Beaver Pokémon,"Simple,Unaware",31.5 kg,1.0 m,50,50,"Water 1,Field",N/A,,,,,14,,N/A,,39,,,,,,,,N/A
401,Kricketot,"Bug,Bug",Cricket Pokémon,Shed Skin,2.2 kg,0.3 m,50,50,Bug,N/A,,,,,15,,N/A,,,,,,,,,,N/A
402,Kricketune,"Bug,Bug",Cricket Pokémon,Swarm,25.5 kg,1.0 m,50,50,Bug,N/A,,,,,16,,N/A,,,,,,,,,,N/A
403,Shinx,"Electric,Normal",Flash Pokémon,"Rivalry,Intimidate",9.5 kg,0.5 m,50,50,Field,N/A,,,,,17,,N/A,,,,,,,,25,,N/A
404,Luxio,"Electric,Normal",Spark Pokémon,"Rivalry,Intimidate",30.5 kg,0.9 m,50,50,Field,N/A,,,,,18,,N/A,,48,,,,,,26,,N/A
405,Luxray,"Electric,Electric",Gleam Eyes Pokémon,"Rivalry,Intimidate",42.0 kg,1.4 m,50,50,Field,N/A,,,,,19,,N/A,,,62,,,,,27,,N/A
406,Budew,"Grass,Poison",Bud Pokémon,"Natural Cure,Poison Point",1.2 kg,0.2 m,50,50,N/A,N/A,,,,,25,,,133,71,,,,,,,,N/A
407,Roserade,"Grass,Poison",Bouquet Pokémon,"Natural Cure,Poison Point",14.5 kg,1.0 m,50,50,"Fairy,Grass",N/A,,,,,27,,,135,73,,,,,,,,N/A
408,Cranidos,"Rock,Normal",Head Butt Pokémon,Mold Breaker,31.5 kg,0.9 m,87.5,12.5,Monster,N/A,,,,,36,,N/A,,,,,188,235,,,,N/A
409,Rampardos,"Rock,Normal",Head Butt Pokémon,Mold Breaker,102.5 kg,1.6 m,87.5,12.5,Monster,N/A,,,,,37,,N/A,,,,,189,236,,,,N/A
410,Shieldon,"Rock,Steel",Shield Pokémon,Sturdy,57.0 kg,0.5 m,87.5,12.5,Monster,N/A,,,,,38,,N/A,,,,,190,237,,,,N/A
411,Bastiodon,"Rock,Steel",Shield Pokémon,Sturdy,149.5 kg,1.3 m,87.5,12.5,Monster,N/A,,,,,39,,N/A,,,,,191,238,,,,N/A
412,Burmy,"Bug,Normal",Bagworm Pokémon,Shed Skin,3.4 kg,0.2 m,50,50,"Bug,Bug",N/A,,,,,45,,N/A,,44,,,,,,,,N/A
413,Wormadam,"Bug,Grass",Bagworm Pokémon,Anticipation,6.5 kg,0.5 m,0,100,"Bug,Bug",N/A,,,,,46,,N/A,,45,,,,,,,,N/A
414,Mothim,"Bug,Flying",Moth Pokémon,Swarm,23.3 kg,0.9 m,100,0,Bug,N/A,,,,,47,,N/A,,46,,,,,,,,N/A
415,Combee,"Bug,Flying",Tiny Bee Pokémon,Honey Gather,5.5 kg,0.3 m,87.5,12.5,Bug,N/A,,,,,53,,,142,76,,,,,116,203,,N/A
416,Vespiquen,"Bug,Flying",Beehive Pokémon,Pressure,38.5 kg,1.2 m,0,100,Bug,N/A,,,,,54,,,143,77,,,,,117,204,,N/A
417,Pachirisu,"Electric,Normal",EleSquirrel Pokémon,"Run Away,Pickup",3.9 kg,0.4 m,50,50,"Field,Fairy",N/A,,,,,55,,N/A,,,132,,,,,,,N/A
418,Buizel,"Water,Normal",Sea Weasel Pokémon,Swift Swim,29.5 kg,0.7 m,50,50,"Water 1,Field",N/A,,,,,56,,,149,,,58,,,,,,N/A
419,Floatzel,"Water,Ice",Sea Weasel Pokémon,Swift Swim,33.5 kg,1.1 m,50,50,"Water 1,Field",N/A,,,,,57,,,150,,,59,,,,,,N/A
420,Cherubi,"Grass,Grass",Cherry Pokemon,Chlorophyll,3.3 kg,0.4 m,50,50,"Fairy,Grass",N/A,,,,,58,,N/A,,,,,,,,,,N/A
421,Cherrim,"Grass,Grass",Blossom Pokémon,Flower Gift,9.3 kg,0.5 m,50,50,"Fairy,Grass",N/A,,,,,59,,N/A,,,,,,,,,,N/A
422,Shellos,"Water,Water",Sea Slug Pokémon,"Sticky Hold,Storm Drain",6.3 kg,0.3 m,50,50,"Water 1,Amorphous",N/A,,,,,60,,N/A,,,,,260,341,,,,N/A
424,Ambipom,"Normal,Psychic",Long Tail Pokémon,"Technician,Pickup",20.3 kg,1.2 m,50,50,Field,N/A,,,,,64,,N/A,,,,,,,,,,N/A
425,Drifloon,"Ghost,Flying",Balloon Pokémon,"Aftermath,Unburden",1.2 kg,0.4 m,50,50,Amorphous,N/A,,,,,65,,,208,,1,,64,76,124,135,,N/A
426,Drifblim,"Ghost,Flying",Blimp Pokémon,"Aftermath,Unburden",15.0 kg,1.2 m,50,50,Amorphous,N/A,,,,,66,,,209,,2,,65,77,125,136,,N/A
427,Buneary,"Normal,Normal",Rabbit Pokémon,"Run Away,Klutz",5.5 kg,0.7 m,50,50,"Field,Human-Like",N/A,,,,,67,,,80,,,,,,,4,,N/A
428,Lopunny,"Normal,Normal",Rabbit Pokémon,"Cute Charm,Klutz",33.3 kg,1.2 m,50,50,"Field,Human-Like",N/A,,,,,68,,,81,,,,,,,5,,N/A
429,Mismagius,"Ghost,Fire",Magical Pokémon,Levitate,4.4 kg,0.9 m,50,50,Amorphous,N/A,,,,,73,,N/A,,,,,67,373,,,,N/A
430,Honchkrow,"Dark,Flying",Big Boss Pokémon,"Insomnia,Super Luck",27.3 kg,0.9 m,50,50,Flying,N/A,,,,,75,,N/A,,,,52,278,79,,,,N/A
431,Glameow,"Normal,Normal",Catty Pokémon,"Limber,Own Tempo",3.9 kg,0.5 m,25,75,Field,N/A,,,,,76,,N/A,,,,,,,,,,N/A
432,Purugly,"Normal,Normal",Tiger Cat Pokémon,"Thick Fat,Own Tempo",43.8 kg,1.0 m,25,75,Field,N/A,,,,,77,,N/A,,,,,,,,,,N/A
433,Chingling,"Psychic,Normal",Bell Pokémon,Levitate,0.6 kg,0.2 m,50,50,N/A,N/A,,,,,82,,N/A,,,111,,,,,,,N/A
434,Stunky,"Poison,Dark",Skunk Pokémon,"Stench,Aftermath",19.2 kg,0.4 m,50,50,Field,N/A,,,,,84,,N/A,,,102,,,,,,,N/A
435,Skuntank,"Poison,Dark",Skunk Pokémon,"Stench,Aftermath",38.0 kg,1.0 m,50,50,Field,N/A,,,,,85,,N/A,,,103,,,,,,,N/A
436,Bronzor,"Steel,Psychic",Bronze Pokémon,"Levitate,Heatproof",60.5 kg,0.5 m,N/A,N/A,Mineral,N/A,,,,,88,,,250,,,,,,,,,N/A
437,Bronzong,"Steel,Psychic",Bronze Bell Pokémon,"Levitate,Heatproof",187.0 kg,1.3 m,N/A,N/A,Mineral,N/A,,,,,89,,,251,,,,,,,,,N/A
438,Bonsly,"Rock,Dark",Bonsai Pokémon,"Sturdy,Rock Head",15.0 kg,0.5 m,50,50,N/A,N/A,,,,,92,,N/A,,,,129,30,37,,,,N/A
439,Mime Jr.,"Psychic,Fairy",Mime Pokémon,"Soundproof,Filter",13.0 kg,0.6 m,50,50,N/A,N/A,,,,,94,,N/A,,,113,,,,364,,10,N/A
440,Happiny,"Normal,Normal",Playhouse Pokémon,"Natural Cure,Serene Grace",24.4 kg,0.6 m,0,100,N/A,N/A,,,,,96,,N/A,,,,,32,39,,6,,N/A
441,Chatot,"Normal,Flying",Music Note Pokémon,"Keen Eye,Tangled Feet",1.9 kg,0.5 m,50,50,Flying,N/A,,,,,102,,N/A,,,138,,,,,,,N/A
442,Spiritomb,"Ghost,Dark",Forbidden Pokémon,Pressure,108.0 kg,1.0 m,50,50,Amorphous,N/A,,,,,108,,N/A,,,,,,,,,,N/A
443,Gible,"Dragon,Ground",Land Shark Pokémon,Sand Veil,20.5 kg,0.7 m,50,50,"Monster,Dragon",N/A,,,,,109,,N/A,,,,6,238,307,,,,N/A
444,Gabite,"Dragon,Ground",Cave Pokémon,Sand Veil,56.0 kg,1.4 m,50,50,"Monster,Dragon",N/A,,,,,110,,N/A,,,,7,239,308,,,,N/A
445,Garchomp,"Dragon,Ground",Mach Pokémon,Sand Veil,95.0 kg,1.9 m,50,50,"Monster,Dragon",N/A,,,,,111,,N/A,,,,8,240,309,,,,N/A
