index,name,type,pokemon_species,pokemon_abilities,pokemon_weight,pokemon_height,pokemon_male,pokemon_female,pokemon_egg,kanto_number,joto_number,joto_h_number,hoenn_number,hoenn_oa_number,sinnoh_number,sinnoh_p_number,unova_number,unova_bw2_number,kalos_ce_number,kalos_co_number,kalos_m_number,alola_sm_number,alola_u_number,galar_number,galar_ia_number,galar_ct_number,paldea_number
252,Treecko,"Grass,Grass",Wood Gecko Pokémon,Overgrow,5.0 kg,0.5 m,87.5,12.5,"Dragon,Monster",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
253,Grovyle,"Grass,Bug",Wood Gecko Pokémon,Overgrow,21.6 kg,0.9 m,87.5,12.5,"Dragon,Monster",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
254,Sceptile,"Grass,Grass",Forest Pokémon,Overgrow,52.2 kg,1.7 m,87.5,12.5,"Dragon,Monster",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
255,Torchic,"Fire,Normal",Chick Pokémon,Blaze,2.5 kg,0.4 m,87.5,12.5,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
256,Combusken,"Fire,Fighting",Young Fowl Pokémon,Blaze,19.5 kg,0.9 m,87.5,12.5,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
257,Blaziken,"Fire,Fighting",Blaze Pokémon,Blaze,52.0 kg,1.9 m,87.5,12.5,"Field,Field",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
258,Mudkip,"Water,Normal",Mud Fish Pokémon,Torrent,7.6 kg,0.4 m,87.5,12.5% ♀,"Monster,Water 1",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
259,Marshtomp,"Water,Ground",Mud Fish Pokémon,Torrent,28.0 kg,0.7 m,87.5,12.5,"Monster,Water 1",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
260,Swampert,"Water,Ground",Mud Fish Pokémon,Torrent,81.9 kg,1.5 m,87.5,12.5,"Monster,Water 1",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
261,Poochyena,"Dark,Normal",Bite Pokémon,"Run Away,Quick Feet",13.6 kg,0.5 m,50,50,Field,N/A,,,,,N/A,,N/A,,,,44,,,,,,N/A
262,Mightyena,"Dark,Dark",Bite Pokémon,"Intimidate,Quick Feet",37.0 kg,1.0 m,50,50,Field,N/A,,,,,N/A,,N/A,,,,45,,,,,,N/A
263,Zigzagoon,"Normal,Dark",Tiny Raccoon Pokémon,"Pickup,Gluttony",17.5 kg,0.4 m,50,50,"Field,Field",N/A,,,,,N/A,,N/A,,12,,,,,,,,N/A
264,Linoone,"Normal,Dark",Rushing Pokémon,"Pickup,Gluttony",32.5 kg,0.5 m,50,50,Field,N/A,,,,,N/A,,N/A,,13,,,,,,,,N/A
265,Wurmple,Bug,Worm Pokémon,Shield Dust,3.6 kg,0.3 m,50,50,Bug,N/A,,,,,48,,N/A,,,,,,,,,,N/A
266,Silcoon,Bug,Cocoon Pokémon,Shed Skin,10.0 kg,0.6 m,50,50,Bug,N/A,,,,,49,,N/A,,,,,,,,,,N/A
267,Beautifly,"Bug,Flying",Butterfly Pokémon,Swarm,28.4 kg,1.0 m,50,50,Bug,N/A,,,,,50,,N/A,,,,,,,,,,N/A
268,Cascoon,Bug,Cocoon Pokémon,Shed Skin,11.5 kg,0.7 m,50,50,Bug,N/A,,,,,51,,N/A,,,,,,,,,,N/A
269,Dustox,"Bug,Poison",Poison Moth Pokémon,Shield Dust,31.6 kg,1.2 m,50,50,Bug,N/A,,,,,52,,N/A,,,,,,,,,,N/A
270,Lotad,"Water,Grass",Water Weed Pokémon,"Swift Swim,Rain Dish",2.6 kg,0.5 m,50,50,"Water 1,Grass",N/A,,,,,N/A,,N/A,,,,55,,,,,,N/A
271,Lombre,"Water,Grass",Jolly Pokémon,"Swift Swim,Rain Dish",32.5 kg,1.2 m,50,50,"Water 1,Grass",N/A,,,,,N/A,,N/A,,,,56,,,,,,N/A
272,Ludicolo,"Water,Grass",Carefree Pokémon,"Swift Swim,Rain Dish",55.0 kg,1.5 m,50,50,"Water 1,Grass",N/A,,,,,N/A,,N/A,,,,57,,,,,,N/A
273,Seedot,"Grass,Normal",Acorn Pokémon,"Chlorophyll,Early Bird",4.0 kg,0.5 m,50,50,"Field,Grass",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
274,Nuzleaf,"Grass,Dark",Wily Pokémon,"Chlorophyll,Early Bird",28.0 kg,1.0 m,50,50,"Field,Grass",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
275,Shiftry,"Grass,Dark",Wicked Pokémon,"Chlorophyll,Early Bird",59.6 kg,1.3 m,50,50,"Field,Grass",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
276,Taillow,"Normal,Flying",Tiny Swallow Pokémon,Guts,2.3 kg,0.3 m,50,50,Flying,N/A,,,,,N/A,,N/A,,,19,,,,,,,N/A
277,Swellow,"Normal,Flying",Swallow Pokémon,Guts,19.8 kg,0.7 m,50,50,Flying,N/A,,,,,N/A,,N/A,,,20,,,,,,,N/A
278,Wingull,"Water,Flying",Seagull Pokémon,"Keen Eye,Hydration",9.5 kg,0.6 m,50,50,"Water 1,Flying",N/A,,,,,119,,,212,,17,,40,47,62,48,,N/A
279,Pelipper,"Water,Flying",Water Bird Pokémon,"Keen Eye,Drizzle",28.0 kg,1.2 m,50,50,"Water 1,Flying",N/A,,,,,120,,,,,18,,,,,49,,N/A
280,Ralts,"Psychic,Fairy",Feeling Pokémon,"Synchronize,Trace",6.6 kg,0.4 m,50,50,"Amorphous,Human-Like",N/A,,,,,,157,N/A,,64,,,,,120,34,,N/A
281,Kirlia,"Psychic,Fairy",Emotion Pokémon,"Synchronize,Trace",20.2 kg,0.8 m,50,50,"Amorphous,Human-Like",N/A,,,,,,158,N/A,,65,,,,,121,35,,N/A
282,Gardevoir,"Psychic,Fairy",Embrace Pokémon,"Synchronize,Trace",48.4 kg,1.6 m,50,50,"Amorphous,Human-Like",N/A,,,,,,159,N/A,,66,,,,,122,36,,N/A
283,Surskit,"Bug,Water",Pond Skater Pokémon,Swift Swim,1.7 kg,0.5 m,50,50,"Water 1,Bug",N/A,,,32,33,N/A,,N/A,,47,,,139,172,,,,N/A
284,Masquerain,"Bug,Flying",Eyeball Pokémon,Intimidate,3.6 kg,0.8 m,50,50,"Water 1,Bug",N/A,,,33,34,N/A,,N/A,,48,,,140,173,,,,N/A
285,Shroomish,"Grass,Grass",Mushroom Pokémon,"Effect Spore,Poison Heal",4.5 kg,0.4 m,50,50,"Fairy,Grass",N/A,,,34,35,N/A,,N/A,,,,,,,,,,N/A
286,Breloom,"Grass,Fighting",Mushroom Pokémon,"Effect Spore,Poison Heal",36.4 kg,1.2 m,50,50,"Fairy,Grass",N/A,,,35,36,N/A,,N/A,,,,,,,,,,N/A
287,Slakoth,"Normal,Normal",Slacker Pokémon,Truant,24.0 kg,0.8 m,50,50,Field,N/A,,,36,37,N/A,,,276,,,,,,,,,N/A
288,Vigoroth,"Normal,Fighting",Wild Monkey Pokémon,Vital Spirit,46.5 kg,1.4 m,50,50,Field,N/A,,,37,38,N/A,,,277,,,,,,,,,N/A
289,Slaking,"Normal,Normal",Lazy Pokémon,Truant,130.5 kg,2.0 m,50,50,Field,N/A,,,38,39,N/A,,,278,,,,,,,,,N/A
290,Nincada,"Bug,Ground",Trainee Pokémon,Compound Eyes,5.5 kg,0.5 m,50,50,Bug,N/A,,,42,43,N/A,,N/A,,111,,,,,,,,N/A
291,Ninjask,"Bug,Flying",Ninja Pokémon,Speed Boost,12.0 kg,0.8 m,50,50,Bug,N/A,,,43,44,N/A,,N/A,,112,,,,,,,,N/A
292,Shedinja,"Bug,Ghost",Shed Pokémon,Wonder Guard,1.2 kg,0.8 m,N/A,N/A,Mineral,N/A,,,44,45,N/A,,N/A,,113,,,,,,,,N/A
293,Whismur,"Normal,Normal",Whisper Pokémon,Soundproof,16.3 kg,0.6 m,50,50,"Monster,Field",N/A,,,45,46,N/A,,N/A,,140,,,,,,148,,N/A
294,Loudred,"Normal,Dark",Big Voice Pokémon,Soundproof,40.5 kg,1.0 m,50,50,"Monster,Field",N/A,,,46,47,N/A,,N/A,,141,,,,,,149,,N/A
295,Exploud,Normal,Loud Noise Pokémon,Soundproof,84.0 kg,1.5 m,50,50,"Monster,Field",N/A,,,47,48,N/A,,N/A,,142,,,,,,150,,N/A
296,Makuhita,"Fighting,Fighting",Guts Pokémon,"Guts,Thick Fat",86.4 kg,1.0 m,75,25,Human-Like,N/A,,,48,49,N/A,,N/A,,,95,,56,68,,,,N/A
297,Hariyama,"Fighting,Fighting",Arm Thrust Pokémon,"Guts,Thick Fat",235.8 kg,2.3 m,75,25,Human-Like,N/A,,,49,50,N/A,,N/A,,,96,,57,69,,,,N/A
298,Azurill,"Normal,Fairy",Polka Dot Pokémon,"Thick Fat,Huge Power",2.0 kg,0.2 m,25,75,N/A,N/A,,,54,55,124,,,30,41,,,,,,139,,N/A
299,Nosepass,"Rock,Rock",Compass Pokémon,"Sturdy,Magnet Pull",97.0 kg,1.0 m,50,50,Mineral,N/A,,,60,61,,155,,164,,93,,198,254,,,,N/A
300,Skitty,"Normal,Normal",Kitten Pokémon,"Cute Charm,Normalize",11.0 kg,0.6 m,25,75,"Field,Fairy",N/A,,,61,63,N/A,,,78,78,,,,,,,,N/A
301,Delcatty,"Normal,Normal",Prim Pokémon,"Cute Charm,Normalize",32.6 kg,1.1 m,25,75,"Field,Fairy",N/A,,,62,64,N/A,,,79,79,,,,,,,,N/A
302,Sableye,"Dark,Ghost",Darkness Pokémon,"Keen Eye,Stall",11.0 kg,0.5 m,50,50,"Human-Like,Human-Like",N/A,,,68,70,N/A,,N/A,,,123,,102,124,,,,N/A
303,Mawile,"Steel,Fairy",Deceiver Pokémon,"Hyper Cutter,Intimidate",11.5 kg,0.6 m,50,50,"Fairy,Field",N/A,,,69,71,N/A,,N/A,,,63,,,,,,,N/A
304,Aron,"Steel,Rock",Iron Armor Pokémon,"Sturdy,Rock Head",60.0 kg,0.4 m,50,50,Monster,N/A,,,70,72,N/A,,,166,,,99,,,,,,N/A
305,Lairon,"Steel,Rock",Iron Armor Pokémon,"Sturdy,Rock Head",120.0 kg,0.9 m,50,50,Monster,N/A,,,71,73,N/A,,,167,,,100,,,,,,N/A
306,Aggron,"Steel,Rock",Iron Armor Pokémon,"Sturdy,Rock Head",360.0 kg,2.1 m,50,50,"Monster,Monster",N/A,,,72,74,N/A,,,168,,,101,,,,,,N/A
307,Meditite,"Fighting,Psychic",Meditate Pokémon,Pure Power,11.2 kg,0.6 m,50,50,Human-Like,N/A,,,76,78,86,,N/A,,143,,,,,,,,N/A
