index,name,type,pokemon_species,pokemon_abilities,pokemon_weight,pokemon_height,pokemon_male,pokemon_female,pokemon_egg,kanto_number,joto_number,joto_h_number,hoenn_number,hoenn_oa_number,sinnoh_number,sinnoh_p_number,unova_number,unova_bw2_number,kalos_ce_number,kalos_co_number,kalos_m_number,alola_sm_number,alola_u_number,galar_number,galar_ia_number,galar_ct_number,paldea_number
906,Sprigatito,"Grass,Dark",Grass Cat Pokémon,Overgrow,4.1 kg,0.4 m,87.5,12.5% ♀,"Field,Grass",N/A,,,,,N/A,,N/A,,,,,,,,,,1
907,Floragato,"Grass,Dark",Grass Cat Pokémon,Overgrow,12.2 kg,0.9 m,87.5,12.5% ♀,"Field,Grass",N/A,,,,,N/A,,N/A,,,,,,,,,,2
908,Meowscarada,"Grass,Dark",Magician Pokémon,Overgrow,31.2 kg,1.5 m,87.5,12.5% ♀,"Field,Grass",N/A,,,,,N/A,,N/A,,,,,,,,,,3
909,Fuecoco,"Fire,Fire",Fire Croc Pokémon,Blaze,4.1 kg,0.4 m,87.5,12.5% ♀,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,4
910,Crocalor,Fire,Fire Croc Pokémon,Blaze,30.7 kg,1 m,87.5,12.5% ♀,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,5
911,Skeledirge,"Fire,Ghost",Singer Pokémon,Blaze,326.5 kg,1.6 m,87.5,12.5% ♀,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,6
912,Quaxly,"Water,Water",Duckling Pokémon,Torrent,6.1 kg,0.5 m,87.5,12.5,"Flying,Water 1",N/A,,,,,N/A,,N/A,,,,,,,,,,7
913,Quaxwell,Water,Practicing Pokémon,Torrent,21.5 kg,1.2 m,87.5,12.5% ♀,"Flying,Water 1",N/A,,,,,N/A,,N/A,,,,,,,,,,8
914,Quaquaval,"Water,Fighting",Dancer Pokémon,Torrent,61.9 kg,1.8 m,87.5,12.5% ♀,"Flying,Water 1",N/A,,,,,N/A,,N/A,,,,,,,,,,9
915,Lechonk,Normal,Hog Pokémon,"Aroma Veil,/,Gluttony",10.2 kg,0.5 m,50,50% ♀,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,10
