index,name,type,pokemon_species,pokemon_abilities,pokemon_weight,pokemon_height,pokemon_male,pokemon_female,pokemon_egg,kanto_number,joto_number,joto_h_number,hoenn_number,hoenn_oa_number,sinnoh_number,sinnoh_p_number,unova_number,unova_bw2_number,kalos_ce_number,kalos_co_number,kalos_m_number,alola_sm_number,alola_u_number,galar_number,galar_ia_number,galar_ct_number,paldea_number
721,Volcanion,"Fire,Water",Steam Pokémon,Water Absorb,195.0 kg,1.7 m,N/A,N/A,Undiscovered,N/A,,,,,N/A,,N/A,,153,,,,,,,,N/A
720,Hoopa,"Psychic,Ghost",Mischief Pokémon,Magician,9.0 kg,0.5 m,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,,152,,,,,,,,N/A
719,Diancie,"Rock,Fairy",Jewel Pokémon,Clear Body,8.8 kg,0.7 m,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,,151,,,,,,,,N/A
718,Zygarde,"Dragon,Ground",Order Pokémon,"Aura Break,Power Construct",305.0 kg,5.0 m,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,,,,150,205,263,,,,N/A
717,Yveltal,"Dark,Flying",Destruction Pokémon,Dark Aura,203.0 kg,5.8 m,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,,,,149,,,,,,N/A
716,Xerneas,"Fairy,Psychic",Life Pokémon,Fairy Aura,215.0 kg,3.0 m,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,,,,148,,,,,,N/A
715,Noivern,"Flying,Dragon",Sound Wave Pokémon,"Frisk,Infiltrator",85.0 kg,1.5 m,50,50,"Flying,Dragon",N/A,,,,,N/A,,N/A,,,,114,,,,,,N/A
714,Noibat,"Flying,Dragon",Sound Wave Pokémon,"Frisk,Infiltrator",8.0 kg,0.5 m,50,50,"Flying,Dragon",N/A,,,,,N/A,,N/A,,,,113,,,,,,N/A
713,Avalugg,"Ice,Ice",Iceberg Pokemon,"Own Tempo,Ice Body",505.0 kg,2.0 m,50,50,"Monster,Mineral",N/A,,,,,N/A,,N/A,,,,80,,,,,,N/A
712,Bergmite,"Ice,Normal",Ice Chunk Pokémon,"Own Tempo,Ice Body",99.5 kg,1.0 m,50,50,"Monster,Mineral",N/A,,,,,N/A,,N/A,,,,79,,,,,,N/A
711,Gourgeist,"Ghost,Grass",Pumpkin Pokémon,"Pickup,Frisk",,,50,50,Amorphous,N/A,,,,,N/A,,N/A,,,,64,,,,,,N/A
710,Pumpkaboo,"Ghost,Grass",Pumpkin Pokémon,"Pickup,Frisk",,,50,50,Amorphous,N/A,,,,,N/A,,N/A,,,,63,,,,,,N/A
709,Trevenant,"Ghost,Grass",Elder Tree Pokémon,"Natural Cure,Frisk",71.0 kg,1.5 m,50,50,"Grass,Amorphous",N/A,,,,,N/A,,N/A,,,,62,197,251,,,,N/A
708,Phantump,"Ghost,Grass",Stump Pokemon,"Natural Cure,Frisk",7.0 kg,0.4 m,50,50,"Grass,Amorphous",N/A,,,,,N/A,,N/A,,,,61,196,250,,,,N/A
707,Klefki,"Steel,Fairy",Key Ring Pokémon,Prankster,3.0 kg,0.2 m,50,50,Mineral,N/A,,,,,N/A,,N/A,,,,50,241,314,,28,,N/A
706,Goodra,"Dragon,Steel",Dragon Pokemon,"Sap Sipper,Hydration",150.5 kg,2.0 m,50,50,"Dragon,Dragon",N/A,,,,,N/A,,N/A,,,,21,180,219,391,62,,N/A
705,Sliggoo,"Dragon,Steel",Soft Tissue Pokémon,"Sap Sipper,Hydration",17.5 kg,0.8 m,50,50,"Dragon,Dragon",N/A,,,,,N/A,,N/A,,,,20,179,218,390,61,,N/A
704,Goomy,"Dragon,Normal",Soft Tissue Pokemon,"Sap Sipper,Hydration",2.8 kg,0.3 m,50,50,Dragon,N/A,,,,,N/A,,N/A,,,,19,178,217,389,60,,N/A
703,Carbink,"Rock,Fairy",Jewel Pokémon,Clear Body,5.7 kg,0.3 m,N/A,N/A,"Fairy,Mineral",N/A,,,,,N/A,,N/A,,,124,,101,123,,,,N/A
702,Dedenne,"Electric,Fairy",Antenna Pokémon,"Pickup,Cheek Pouch",2.2 kg,0.2 m,50,50,"Field,Fairy",N/A,,,,,N/A,,N/A,,,110,,,,,103,,N/A
701,Hawlucha,"Fighting,Flying",Wrestling Pokémon,"Limber,Unburden",21.5 kg,0.8 m,50,50,"Human-Like,Flying",N/A,,,,,N/A,,N/A,,,89,,,,,,,N/A
700,Sylveon,"Fairy,Fairy",Intertwining Pokémon,Cute Charm,23.5 kg,1.0 m,87.5,12.5% ♀,Field,N/A,,,,,N/A,,N/A,,,85,,131,161,,,,N/A
699,Aurorus,"Rock,Ice",Tundra Pokémon,Refrigerate,225.0 kg,2.7 m,87.5,12.5,Monster,N/A,,,,,N/A,,N/A,,,67,,,,,,,N/A
