index,name,type,pokemon_species,pokemon_abilities,pokemon_weight,pokemon_height,pokemon_male,pokemon_female,pokemon_egg,kanto_number,joto_number,joto_h_number,hoenn_number,hoenn_oa_number,sinnoh_number,sinnoh_p_number,unova_number,unova_bw2_number,kalos_ce_number,kalos_co_number,kalos_m_number,alola_sm_number,alola_u_number,galar_number,galar_ia_number,galar_ct_number,paldea_number
152,Chikorita,"Grass,Normal",Leaf Pokémon,Overgrow,6.4 kg,0.9 m,87.5,12.5,"Monster,Grass",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
153,Bayleef,"Grass,Normal",Leaf Pokémon,Overgrow,15.8 kg,1.2 m,87.5,12.5,"Monster,Grass",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
154,Meganium,"Grass,Grass",Herb Pokémon,Overgrow,100.5 kg,1.8 m,87.5,12.5,"Monster,Grass",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
155,Cyndaquil,"Fire,Normal",Fire Mouse Pokémon,Blaze,7.9 kg,0.5 m,87.5,12.5,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
156,Quilava,"Fire,Normal",Volcano Pokémon,Blaze,19.0 kg,0.9 m,87.5,12.5,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
157,Typhlosion,"Fire,Fire",Volcano Pokémon,Blaze,79.5 kg,1.7 m,87.5,12.5,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
158,Totodile,"Water,Water",Big Jaw Pokémon,Torrent,9.5 kg,0.6 m,87.5,12.5,"Water 1,Monster",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
159,Croconaw,"Water,Normal",Big Jaw Pokémon,Torrent,25.0 kg,1.1 m,87.5,12.5,"Water 1,Monster",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
160,Feraligatr,"Water,Psychic",Big Jaw Pokémon,Torrent,88.8 kg,2.3 m,87.5,12.5,"Water 1,Monster",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
161,Sentret,Normal,Scout Pokémon,"Run Away,Keen Eye",6.0 kg,0.8 m,50,50,Field,N/A,,,,,N/A,,N/A,,109,,,,,,,,N/A
162,Furret,Normal,Long Body Pokémon,"Run Away,Keen Eye",32.5 kg,1.8 m,50,50,Field,N/A,,,,,N/A,,N/A,,110,,,,,,,,N/A
163,Hoothoot,"Normal,Flying",Owl Pokémon,"Insomnia,Keen Eye",21.2 kg,0.7 m,50,50,Flying,N/A,,,,,106,,N/A,,,,117,,,,,,N/A
164,Noctowl,"Normal,Flying",Owl Pokémon,"Insomnia,Keen Eye",40.8 kg,1.6 m,50,50,Flying,N/A,,,,,107,,N/A,,,,118,,,,,,N/A
165,Ledyba,"Bug,Flying",Five Star Pokémon,"Swarm,Early Bird",10.8 kg.,1.0 m,50,50,Bug,N/A,,,,,N/A,,N/A,,74,,,,,,,,N/A
166,Ledian,"Bug,Flying",Five Star Pokémon,"Swarm,Early Bird",35.6 kg,1.4 m,50,50,Bug,N/A,,,,,N/A,,N/A,,75,,,,,,,,N/A
167,Spinarak,"Bug,Poison",String Spit Pokémon,"Swarm,Insomnia",8.5 kg,0.5 m,50,50,Bug,N/A,,,,,N/A,,N/A,,,,107,,,,,,N/A
168,Ariados,"Bug,Poison",Long Leg Pokémon,"Swarm,Insomnia",33.5 kg,1.1 m,50,50,Bug,N/A,,,,,N/A,,N/A,,,,108,,,,,,N/A
169,Crobat,"Poison,Flying",Bat Pokémon,Inner Focus,75.0 kg,1.8 m,50,50,Flying,N/A,,,65,67,30,,,63,147,,,70,82,,,,N/A
170,Chinchou,"Water,Electric",Angler Pokémon,"Volt Absorb,Illuminate",12.0 kg,0.5 m,50,50,Water 2,N/A,174,176,181,190,N/A,,N/A,,,147,,201,257,220,188,,N/A
171,Lanturn,"Water,Electric",Light Pokémon,"Volt Absorb,Illuminate",22.5 kg,1.2 m,50,50,Water 2,N/A,175,177,182,191,N/A,,N/A,,,148,,202,258,221,189,,N/A
172,Pichu,"Electric,Electric",Tiny Mouse Pokémon,Static,2.0 kg,0.3 m,50,50,N/A,N/A,,,155,162,103,,N/A,,35,,,24,31,193,84,,N/A
173,Cleffa,"Fairy,Normal",Star Shape Pokémon,"Cute Charm,Magic Guard",3.0 kg,0.3 m,25,75,N/A,N/A,,,,,99,,,88,,,,210,272,,,,N/A
174,Igglybuff,"Normal,Fairy",Balloon Pokémon,"Cute Charm,Competitive",1.0 kg,0.3 m,25,75,N/A,N/A,,,137,142,N/A,,,281,,,119,134,167,,11,,N/A
175,Togepi,"Fairy,Normal",Spike Ball Pokémon,"Hustle,Serene Grace",1.5 kg,0.3 m,87.5,12.5,N/A,N/A,,,,,,173,N/A,,,,,,,,,,N/A
176,Togetic,"Fairy,Flying",Happiness Pokémon,"Hustle,Serene Grace",3.2 kg,0.6 m,87.5,12.5,"Fairy,Flying",N/A,,,,,,174,N/A,,,,,,,,,,N/A
177,Natu,"Psychic,Flying",Tiny Bird Pokémon,"Synchronize,Early Bird",2.0 kg,0.2 m,50,50,Flying,N/A,159,161,162,169,N/A,,N/A,,,,,,,,,,N/A
178,Xatu,"Psychic,Flying",Mystic Pokémon,"Synchronize,Early Bird",15.0 kg,1.5 m,50,50,Flying,N/A,160,162,163,170,N/A,,N/A,,,,,,,,,,N/A
179,Mareep,"Electric,Normal",Wool Pokémon,Static,7.8 kg,0.6 m,50,50,"Monster,Field",N/A,,,,,N/A,,,25,,127,,,,,,,N/A
180,Flaaffy,"Electric,Normal",Wool Pokémon,Static,13.3 kg,0.8 m,50,50,"Monster,Field",N/A,,,,,N/A,,,26,,128,,,,,,,N/A
181,Ampharos,"Electric,Electric",Light Pokémon,Static,61.5 kg,1.4 m,50,50,"Monster,Field",N/A,,,,,N/A,,,27,,129,,,,,,,N/A
182,Bellossom,"Grass,Grass",Flower Pokémon,Chlorophyll,5.8 kg,0.4 m,50,50,Grass,N/A,,,91,94,N/A,,N/A,,108,,,,,,,,N/A
183,Marill,"Water,Fairy",Aqua Mouse Pokémon,"Thick Fat,Huge Power",8.5 kg,0.4 m,50,50,"Water 1,Fairy",N/A,130,132,55,56,125,,,31,42,,,,,,140,,N/A
184,Azumarill,"Water,Fairy",Aqua Rabbit Pokémon,"Thick Fat,Huge Power",28.5 kg,0.8 m,50,50,"Water 1,Fairy",N/A,131,133,56,57,126,,,32,43,,,,,,141,,N/A
185,Sudowoodo,"Rock,Rock",Imitation Pokémon,"Sturdy,Rock Head",38.0 kg,1.2 m,50,50,Mineral,N/A,106,107,,,93,,N/A,,,,130,31,38,,,,N/A
186,Politoed,"Water,Water",Frog Pokémon,"Water Absorb,Damp",33.9 kg,1.1 m,50,50,Water 1,N/A,,,,,N/A,,N/A,,,,36,152,185,,145,,N/A
187,Hoppip,"Grass,Flying",Cottonweed Pokémon,"Chlorophyll,Leaf Guard",0.5 kg,0.4 m,50,50,"Fairy,Grass",N/A,,,,,N/A,,N/A,,135,,,,,,,,16
188,Skiploom,"Grass,Flying",Cottonweed Pokémon,"Chlorophyll,Leaf Guard",1.0 kg,0.6 m,50,50,"Fairy,Grass",N/A,,,,,N/A,,N/A,,136,,,,,,,,17
189,Jumpluff,"Grass,Flying",Cottonweed Pokémon,"Chlorophyll,Leaf Guard",3.0 kg,0.8 m,50,50,"Fairy,Grass",N/A,,,,,N/A,,N/A,,137,,,,,,,,18
190,Aipom,"Normal,Normal",Long Tail Pokémon,"Run Away,Pickup",11.5 kg,0.8 m,50,50,Field,N/A,122,123,,,63,,N/A,,,,,,,,,,N/A
191,Sunkern,"Grass,Grass",Seed Pokémon,"Chlorophyll,Solar Power",1.8 kg,0.3 m,50,50,Grass,N/A,102,103,,,N/A,,,20,,,,,,,,,N/A
192,Sunflora,"Grass,Fairy",Sun Pokémon,"Chlorophyll,Solar Power",8.5 kg,0.8 m,50,50,Grass,N/A,103,104,,,N/A,,,21,,,,,,,,,N/A
193,Yanma,"Bug,Flying",Clear Wing Pokémon,"Speed Boost,Compound Eyes",38.0 kg,1.2 m,50,50,Bug,N/A,,,,,,183,,286,,87,,,,,,,N/A
194,Wooper,"Water,Ground",Water Fish Pokémon,"Damp,Water Absorb",8.5 kg,0.4 m,50,50,"Water 1,Field",N/A,,,,,117,,N/A,,,,17,,,100,58,,N/A
195,Quagsire,"Water,Ground",Water Fish Pokémon,"Damp,Water Absorb",75.0 kg,1.4 m,50,50,"Water 1,Field",N/A,,,,,118,,N/A,,,,18,,,101,59,,N/A
196,Espeon,"psychic,Psychic",Sun Pokémon,Synchronize,26.5 kg,0.9 m,87.5,12.5,Field,N/A,184,188,,,,167,,95,,81,,127,157,,,,N/A
197,Umbreon,"Dark,Dark",Moonlight Pokémon,Synchronize,27.0 kg,1.0 m,87.5,12.5,Field,N/A,185,189,,,,168,,96,,82,,128,158,,,,N/A
198,Murkrow,"Dark,Flying",Darkness Pokémon,"Insomnia,Super Luck",2.1 kg,0.5 m,50,50,Flying,N/A,208,213,,,74,,N/A,,,,51,277,78,,,,N/A
199,Slowking,"Water,Psychic",Royal Pokémon,"Oblivious,Own Tempo",79.5kg,2.0 m,50,50,"Monster,Water 1",N/A,,,,,N/A,,N/A,,,135,,39,46,,3,,N/A
200,Misdreavus,"Ghost,Ghost",Screech Pokémon,Levitate,1.0 kg,0.7 m,50,50,Amorphous,N/A,214,219,,,72,,N/A,,,,,66,372,,,,N/A
201,Unown,"Psychic,Normal",Symbol Pokémon,Levitate,5.0 kg,0.5 m,N/A,N/A,N/A,N/A,,,,,114,,N/A,,,,,,,,,,N/A
202,Wobbuffet,"Psychic,Fighting",Patient Pokémon,Shadow Tag,28.5 kg,1.3 m,50,50,Amorphous,N/A,107,108,161,168,N/A,,N/A,,,119,,,,,,,N/A
203,Girafarig,"Normal,Psychic",Long Neck Pokémon,"Inner Focus,Early Bird",41.5 kg,1.5 m,50,50,Field,N/A,147,149,164,171,121,,N/A,,,,,,,,,,192
204,Pineco,"Bug,Normal",Bagworm Pokémon,Sturdy,7.2 kg,0.6 m,50,50,Bug,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
205,Forretress,"Bug,Steel",Bagworm Pokémon,Sturdy,125.8 kg,1.2 m,50,50,Bug,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
206,Dunsparce,"Normal,Normal",Land Snake Pokémon,"Serene Grace,Run Away",14.0 kg,1.5 m,50,50,Field,N/A,,,,,N/A,,,35,40,,,,,,52,,N/A
207,Gligar,"Ground,Flying",Flyscorpion Pokémon,"Hyper Cutter,Sand Veil",64.8 kg,1.1 m,50,50,Bug,N/A,189,193,,,,153,,221,,,115,,,,,,N/A
208,Steelix,"Steel,Ground",Iron Snake Pokémon,"Rock Head,Sturdy",400.0 kg,9.2 m,50,50,"Mineral,Mineral",N/A,,,,,35,,,72,,54,,,,,,,N/A
209,Snubbull,"Fairy,Normal",Fairy Pokémon,"Run Away,Intimidate",7.8 kg,0.6 m,25,75,"Field,Fairy",N/A,123,125,,,N/A,,N/A,,,71,,258,339,,,,N/A
210,Granbull,"Fairy,Normal",Fairy Pokémon,"Quick Feet,Intimidate",48.7 kg,1.4 m,25,75,"Field,Fairy",N/A,124,126,,,N/A,,N/A,,,72,,259,340,,,,N/A
